canonical_name,display_name,category,method_type,brand_family,aliases,body_areas,description,competitor_methods
cryo21,CRYO21,rf_hifu,device,marinclinical_cryo21,CRYO21|cryo21,,"[Kriolipoliza] Wielofunkcyjny system Crystal Cryo Zastosowanie: Redukcja tluszczu, lifting",[]
cryomed,Cryomed,inny,device,cryomed_pro,Cryomed|cryomed,,[Krioterapia] Krio sauny Zastosowanie: Krioterapia,[]
cryopen_pro_cryopen,Cryopen Pro / CryoPen,inny,device,cryopen_ltd_h2_cryopen,Cryopen Pro / CryoPen|cryopen pro / cryopen|cryopen pro cryopen,,"[Krioterapia lokalna] Krioterapia punktowa N2O/CO2 Zastosowanie: Znamiona, brodawki",[]
cryosense_cryoaction,Cryosense / Cryoaction,inny,device,cryosense_cryoaction,Cryosense / Cryoaction|cryosense / cryoaction|cryosense cryoaction,,[Krioterapia] Komora kriogeniczna -110/-160 C Zastosowanie: Krioterapia ogolnoustrojowa,[]
curly_girl_method,Curly Girl Method,fryzjer_zabieg,technique,lorraine_massey,Curly Girl Method|curly girl method,,[Strzyzenie krecone] Pielegnacja krechow Zastosowanie: Pielegnacja kreconych wlosow,[]
cutera_excel_v,Cutera Excel V+,laser_depilacja,device,cutera,Cutera Excel V+|cutera excel v|cutera excel v+,,"[Laser Nd:YAG] Laser naczyniowy 532/1064 nm o duzej mocy Zastosowanie: Zmiany naczyniowe, rumien, telangiektazje",[]
cynergy,Cynergy,laser_skin,device,cynosure,Cynergy|cynergy,,"[Laser naczyniowy] Synergia PDL 595 nm + Nd:YAG 1064 nm Zastosowanie: Naczynia, znamiona naczyniowe",[]
cynosure_elite_iq,Cynosure Elite iQ,inny,device,cynosure,Cynosure Elite iQ|cynosure elite iq,,"[Laser do gruzlika/naczyn] Aleksandryt + Nd:YAG z Skintel Zastosowanie: Depilacja, naczynia, pigmentacja",[]
cytocare_502_516_532_715,Cytocare 502/516/532/715,inny,substance,revitacare,Cytocare 502/516/532/715|cytocare 502 516 532 715|cytocare 502/516/532/715,,[HA - Cytocare] Mezokoktajle z HA + 50 wieloskladnikow Zastosowanie: Biorewitalizacja,[]
d_actor,D-Actor,rf_hifu,device,storz_medical,D-Actor|d actor|d-actor,,"[Shockwave akustyczna] Radialna shockwave Zastosowanie: Cellulit, miesnie",[]
davines_bond_tech,Davines Bond Tech,fryzjer_zabieg,substance,davines,Davines Bond Tech|davines bond tech,,[Bond builders/ochrona] Bond strengthener Zastosowanie: Ochrona,[]
davines_naturaltech_oi_alchemic,"Davines (Naturaltech, OI, Alchemic)",fryzjer_zabieg,substance,davines,"Davines (Naturaltech, OI, Alchemic)|davines|davines (naturaltech, oi, alchemic)",,"[Marki profesjonalne] Sustainable salon brand Zastosowanie: Pielegnacja, kolor",[]
daxxify,Daxxify,substancja,substance,revance_therapeutics,Daxxify|daxxify,,[Toksyna botulinowa] DaxibotulinumtoxinA-lanm z peptydem RTP004 ('dlugotrwala') Zastosowanie: Zmarszczki gabek (>6 mies),[]
deep_plane_facelift,Deep Plane Facelift,chirurgia,technique,hamra_mendelson_jacono,Deep Plane Facelift|deep plane facelift,,[Lifting twarzy] Glebokie SMAS i ligamentolysis Zastosowanie: Glębokie odmlodzenie,[]
definisse_threads,Definisse Threads,inny,substance,relife_menarini_group,Definisse Threads|definisse threads,,[Nici PLLA + PCL] Free Floating + Anchoring Zastosowanie: Lifting,[]
depilacja_pasta_cukrowa,Pasta cukrowa,depilacja_klasyczna,technique,,pasta cukrowa|cukrowa|sugaring,"[""body"",""armpit"",""bikini"",""legs"",""face""]",Depilacja pastą cukrową (sugaring) — orientalna technika ręczna lub strip.,"[""depilacja_wosk""]"
depilacja_wosk,Depilacja woskiem,depilacja_klasyczna,technique,,depilacja woskiem|wosk|brazilian wax|hot wax,"[""body"",""armpit"",""bikini"",""legs"",""face""]",Depilacja woskiem cieple/twarde/strip-wax — klasyczna alternatywa dla lasera.,"[""depilacja_pasta_cukrowa""]"
dermaceutic_milk_peel,Dermaceutic Milk Peel,peeling,substance,dermaceutic_laboratoire,Dermaceutic Milk Peel|dermaceutic milk peel,,"[Peeling chemiczny] AHA peeling powierzchowny Zastosowanie: Blask, plamy",[]
dermaclear,DermaClear,peeling,protocol,,dermaclear|derma clear|dermaclear z prx,"[""face"",""neck"",""decolte""]",DermaClear — wieloskładnikowy peel z PRX-T33 + HA + peptydów; często z dodatkową HA mezoterapią.,"[""prx_t33"",""pro_xn""]"
dermaheal_hsr_sb_hl,Dermaheal HSR/SB/HL,mezoterapia,substance,caregen,Dermaheal HSR/SB/HL|dermaheal hsr sb hl|dermaheal hsr/sb/hl,,"[Mezoterapia] Linia mezokoktajli z peptydami Zastosowanie: Biorewitalizacja, lysienie",[]
dermalogica,Dermalogica,peeling,substance,dermalogica,Dermalogica|dermalogica|dermalogica facial|dermalogica pro clear,"[""face""]",[Kosmeceutyki gabinetowe] Profesjonalna kosmetyka Zastosowanie: Pielegnacja gabinetowa,"[""mesoestetic_peel"",""obagi""]"
dermalux_flex_tri_wave_md,Dermalux Flex/Tri-Wave MD,inny,device,aesthetic_technology,Dermalux Flex/Tri-Wave MD|dermalux flex tri wave md|dermalux flex/tri-wave md,,"[LED therapy] LED czerwone/blue/NIR medyczne Zastosowanie: Trądzik, antiaging, regeneracja",[]
dermamelan,Dermamelan,peeling,protocol,mesoestetic,Dermamelan|dermamelan,"[""face""]",[Peeling chemiczny] Profesjonalny system depigmentujacy Zastosowanie: Melasma oporne,"[""cosmelan""]"
dermapen,Dermapen,mezoterapia,device,equipmed,dermapen|dermapen 4|dermapen 6|microneedling pen,"[""face"",""neck"",""scalp"",""body""]","Mikronakłuwanie pen-style (Dermapen 4/6) — frakcyjna stymulacja, blizny, rozstępy.","[""dermaroller"",""mezoterapia_iglowa""]"
dermapen_4,Dermapen 4,mezoterapia,device,dermapenworld_equipmed,Dermapen 4|dermapen 4,,"[Mikroiglowanie] Profesjonalne mikroiglowanie 16-iglowe Zastosowanie: Mikronakluwanie skory, blizny, rozstepy",[]
dermaroller,Dermaroller,mezoterapia,device,,dermaroller|derma roller|microneedling roller,"[""face"",""body"",""scalp""]",Mikronakłuwanie rollerem manualnym — tańsza alternatywa Dermapen.,"[""dermapen""]"
dermastabulon,Dermastabulon,mezoterapia,substance,network,Dermastabulon|dermastabulon,,[Mezoterapia lipolityczna] Mezoterapia lipolityczna PPC Zastosowanie: Lipoliza,[]
desirial_desirial_plus,Desirial / Desirial Plus,substancja,substance,vivacy,Desirial / Desirial Plus|desirial / desirial plus|desirial desirial plus,,"[HA - Vivacy] Ginekologia estetyczna Zastosowanie: Wargi sromowe, suchosc",[]
devacut,DevaCut,fryzjer_zabieg,technique,devacurl,DevaCut|devacut,,[Strzyzenie krecone] Strzyzenie kreconych na sucho lok po loku Zastosowanie: Krecone wlosy,[]
dhi_direct_hair_implantation,DHI - Direct Hair Implantation,transplantacja_wlosow,technique,choi_pen_dhi_global,DHI - Direct Hair Implantation|dhi - direct hair implantation|dhi direct hair implantation,,[Hair transplant] Bezposrednia implantacja Choi Pen Zastosowanie: Przeszczep wlosow,[]
diamondtome,DiamondTome,peeling,device,altair_instruments,DiamondTome|diamondtome,,[Hydra-peeling] Diamentowa mikrodermabrazja Zastosowanie: Zlauszczanie,[]
digital_perm,Digital Perm,fryzjer_zabieg,technique,klasyczna,Digital Perm|digital perm,,[Ondulacja permanentna] Cieplna trwala Zastosowanie: Lagodniejsze loki,[]
diodowy_laser,Laser diodowy,laser_depilacja,technique,,laser diodowy|diodowa|depilacja diodowa,"[""face"",""body"",""armpit"",""bikini"",""legs""]",Generic laser diodowy do depilacji (810nm dominant) — wszystkie typy skóry.,"[""thunder"",""soprano"",""vectus"",""primex""]"
discovery_pico_plus,Discovery Pico Plus,laser_skin,device,quanta_system,Discovery Pico Plus|discovery pico plus,,"[Laser pikosekundowy] Pikosekundowy z 4 dlugosciami fali Zastosowanie: Tatuaze, przebarwienia, odmladzanie",[]
doctor_life_power_q,Doctor Life / Power Q,rf_hifu,device,daesung_maref,Doctor Life / Power Q|doctor life / power q|doctor life power q,,"[Presoterapia] Aparat do drenazu limfatycznego presoterapia Zastosowanie: Drenaz, obrzeki",[]
doublo_gold_s,Doublo Gold/S,rf_hifu,device,hironic,Doublo Gold/S|doublo gold s|doublo gold/s,,[HIFU] HIFU klasyczny Zastosowanie: Lifting twarzy,[]
dr_cyj_hair_filler,Dr.CYJ Hair Filler,mezoterapia,substance,caregen,Dr.CYJ Hair Filler|dr cyj hair filler|dr.cyj hair filler,,[Mezoterapia trychologiczna] HA + peptydy do skory glowy Zastosowanie: Lysienie androgenowe,[]
dr_cyj_hair_filler_caregen,Dr.CYJ Hair Filler (Caregen),trychologia,substance,caregen,Dr.CYJ Hair Filler (Caregen)|dr cyj hair filler|dr.cyj hair filler|dr.cyj hair filler (caregen),,[Mezoterapia hair] Peptidowy mezofiller do skory glowy Zastosowanie: Lysienie androgenowe,[]
dr_pen_ultima_m8_a6,Dr. Pen Ultima M8 / A6,mezoterapia,device,dr_pen,Dr. Pen Ultima M8 / A6|dr pen ultima m8 a6|dr. pen ultima m8 / a6,,[Mikroiglowanie] Mikroiglowanie konsumenckie i profesjonalne Zastosowanie: Mikronakluwanie skory,[]
dr_schrammek,Dr Schrammek,peeling,substance,dr_schrammek_kosmetik,Dr Schrammek|dr schrammek,,[Kosmeceutyki gabinetowe] Green Peel Zastosowanie: Peeling ziolowy,[]
drucker_sigma_hettich_rotanta_eppendorf,Drucker / Sigma / Hettich Rotanta / Eppendorf,inny,device,sigma_hettich_eppendorf,Drucker / Sigma / Hettich Rotanta / Eppendorf|drucker / sigma / hettich rotanta / eppendorf|drucker sigma hettich rotanta eppendorf,,[PRP/PRF wirowki] Wirowki laboratoryjne Zastosowanie: PRP/PRF,[]
dry_cutting,Dry Cutting,fryzjer_zabieg,technique,klasyczna,Dry Cutting|dry cutting,,[Strzyzenie] Ciecie na sucho Zastosowanie: Korekta naturalnego ulozenia,[]
ducray_anaphase_neoptide,Ducray Anaphase / Neoptide,trychologia,substance,pierre_fabre_ducray,Ducray Anaphase / Neoptide|ducray anaphase / neoptide|ducray anaphase neoptide,,[Trychologia preparaty] Ampulki przeciw lysieniu Zastosowanie: Lysienie,[]
dyson_airwrap,Dyson Airwrap,fryzjer_zabieg,substance,dyson,Dyson Airwrap|dyson airwrap,,[Lokowki/stylery] Multi-stylowy z efektem Coanda Zastosowanie: Stylizacja,[]
dyson_corrale,Dyson Corrale,fryzjer_zabieg,substance,dyson,Dyson Corrale|dyson corrale,,[Prostownice] Cordless z gietkimi plytkami Zastosowanie: Prostowanie,[]
dyson_supersonic,Dyson Supersonic,fryzjer_zabieg,substance,dyson,Dyson Supersonic|dyson supersonic,,"[Suszarki] Silnik digital V9, Air Multiplier Zastosowanie: Suszenie/stylizacja",[]
dysport,Dysport,substancja,substance,ipsen,dysport|azzalure,"[""face""]","Ipsen Dysport (Azzalure w wersji estetycznej) — abobotulinum, neuromodulator.","[""botox"",""xeomin""]"
dysport_azzalure,Dysport / Azzalure,substancja,substance,ipsen_galderma,Dysport / Azzalure|dysport / azzalure|dysport azzalure,,[Toksyna botulinowa] AbobotulinumtoxinA 300/500 U Zastosowanie: Zmarszczki mimiczne,[]
e_light,e-Light,laser_depilacja,technique,roznorodni_producenci_oem,e light|e-Light|e-light,,"[IPL] IPL + RF synergiczny Zastosowanie: Depilacja, fotoodmladzanie",[]
earfold,Earfold,chirurgia,substance,allergan,Earfold|earfold,,[Otoplastyka] Implant z nitinolu fixujacy obrabek Zastosowanie: Korekcja odstajacych uszu,[]
easilocks,Easilocks,fryzjer_zabieg,substance,easilocks_shane_o_sullivan,Easilocks|easilocks,,[Przedluzanie wlosow] Hot ribbon / X-Tend Zastosowanie: Przedluzanie,[]
easy_phytic,Easy Phytic,peeling,substance,skin_tech_pharma_group,Easy Phytic|easy phytic,,"[Peeling chemiczny] AHA + kwas fitowy Zastosowanie: Rozjasnienie, AA",[]
easy_tca_peel,Easy TCA Peel,peeling,substance,skin_tech_pharma_group,Easy TCA Peel|easy tca peel,,"[Peeling chemiczny] TCA 15% z technologia mask-off Zastosowanie: Plamy, trądzik",[]
ecaille_tortoise_shell,Ecaille / Tortoise Shell,fryzjer_koloryzacja,technique,klasyczna,Ecaille / Tortoise Shell|ecaille / tortoise shell|ecaille tortoise shell,,[Koloryzacja - rozjasnianie] Wielowarstwowa multi-tonal koloryzacja Zastosowanie: Naturalny multi-tonal efekt,[]
eclipse_micropen_elite,Eclipse MicroPen Elite,mezoterapia,device,eclipse_aesthetics,Eclipse MicroPen Elite|eclipse micropen elite,,[Mikroiglowanie] Profesjonalny mikroigłownik Zastosowanie: Mikronakluwanie,[]
eco2,eCO2,laser_skin,device,lutronic,eCO2|eco2,,"[Laser CO2 frakcyjny] Frakcyjny CO2 do resurfacingu i leczenia blizn Zastosowanie: Resurfacing, blizny",[]
edge_one,Edge One,laser_skin,device,jeisys_medical,Edge One|edge one,,"[Laser CO2 frakcyjny] Frakcyjny CO2 hybrid Zastosowanie: Resurfacing, blizny",[]
elchim_3900_healthy_ionic,Elchim 3900 Healthy Ionic,fryzjer_zabieg,substance,elchim,Elchim 3900 Healthy Ionic|elchim 3900 healthy ionic,,[Suszarki] Suszarka jonowa Zastosowanie: Suszenie,[]
ellanse,Ellanse,substancja,substance,sinclair,ellanse|ellanse m|ellanse s|ellanse l|ellanse e,"[""face""]","Sinclair Ellanse — polikaprolakton (PCL), długoletni stymulator kolagenu.","[""sculptra"",""radiesse""]"
ellanse_s_m_l_e,Ellanse S/M/L/E,substancja,substance,sinclair_pharma,Ellanse S/M/L/E|ellanse s m l e|ellanse s/m/l/e,,"[PCL] Polikaprolakton CMC z roznym czasem dzialania 1-4 lata Zastosowanie: Biostymulator, kontur",[]
ellipse_nordlys,Ellipse Nordlys,laser_depilacja,device,candela_ellipse,Ellipse Nordlys|ellipse nordlys,,"[IPL] Platforma IPL Selective Waveband Technology Zastosowanie: Naczynia, plamy, depilacja",[]
emface,EmFace,rf_hifu,device,btl,Emface|em face|emface,"[""face""]","[EMS HIFEM] HIFES + RF na twarz Zastosowanie: Lifting, mass miesniowa twarzy","[""ultraformer"",""virtue_rf""]"
emla_pliaglis_lmx_4_tetracaine_gel,EMLA / Pliaglis / LMX-4 / Tetracaine gel,inny,substance,aspen_pliaglis_galderma_ferndale,EMLA / Pliaglis / LMX-4 / Tetracaine gel|emla / pliaglis / lmx-4 / tetracaine gel|emla pliaglis lmx 4 tetracaine gel,,[Znieczulenie miejscowe] Krem znieczulajacy Zastosowanie: Komfort zabiegow,[]
emsculpt,EmSculpt,rf_hifu,device,btl,EMSculpt|em sculpt|emsculpt|emsculpt neo,"[""body"",""buttocks"",""abdomen""]","[EMS HIFEM] High-Intensity Focused Electromagnetic do miesni Zastosowanie: Mass miesniowa, redukcja tluszczu","[""ultraformer"",""onda"",""cooltech""]"
emsculpt_neo,EMSculpt NEO,rf_hifu,device,btl,EMSculpt NEO|emsculpt neo,,[EMS HIFEM] HIFEM + RF sync Zastosowanie: Mięśnie + tluszcz jednoczesnie,[]
emsella,Emsella,rf_hifu,device,btl,Emsella|emsella,,"[EMS HIFEM] HIFEM krzeselko do dna miednicy Zastosowanie: Nietrzymanie moczu, miesnie Kegla",[]
endermolab,Endermolab,rf_hifu,device,lpg,endermolab|endermologie|lpg|cellu m6,"[""body"",""thighs"",""abdomen"",""buttocks""]","LPG Endermolab/Endermologie — mechaniczne masowanie podciśnieniowe z rolkami, anti-cellulit.","[""onda"",""cooltech""]"
endolift,EndoLift,inny,technique,deka,EndoLift|endolift,,"[Laser endolifting] Mikrokaniula z wlokno optyczne 1470 nm wprowadzane podskornie Zastosowanie: Lifting bez ciec, lipoliza twarzy/szyi",[]
endoret_prgf,Endoret PRGF,substancja,substance,bti_biotechnology_institute,Endoret PRGF|endoret prgf,,"[PRP/PRF] Plasma Rich in Growth Factors Zastosowanie: Regeneracja, lysienie",[]
endoscopic_brow_lift,Endoscopic Brow Lift,chirurgia,technique,roznorodni,Endoscopic Brow Lift|endoscopic brow lift,,[Lifting czola] Endoskopowy lifting czola Zastosowanie: Czolo,[]
endospheres_therapy,Endospheres Therapy,rf_hifu,device,fenix_group,Endospheres Therapy|endospheres therapy,,"[Endermologia] Compressive Microvibration Zastosowanie: Cellulit, drenaz",[]
endymed,EndyMed,rf_hifu,device,endymed,endymed|endymed 3deep,"[""face"",""body""]","EndyMed 3DEEP — multi-source RF dla skóry i ciała, bez igieł.","[""virtue_rf"",""thermage""]"
endymed_3deep,Endymed 3DEEP,rf_hifu,technique,endymed,Endymed 3DEEP|endymed 3deep,,"[Wielobiegunowa RF] Wielokanalowa RF z fokusowaniem energii Zastosowanie: Lifting, ujedrnienie",[]
endymed_intensif,Endymed Intensif,rf_hifu,device,endymed,Endymed Intensif|endymed intensif,,"[Mikroiglowa RF] Mikroiglowa RF z technologia 3DEEP Zastosowanie: Lifting, blizny",[]
enerpeel,Enerpeel,peeling,substance,general_topics,Enerpeel|enerpeel,,"[Peeling chemiczny] Time release peelingow chemicznych Zastosowanie: Trądzik, fotostarzenie",[]
enlighten_iii,Enlighten III,laser_skin,device,cutera,Enlighten III|enlighten iii,,"[Laser pikosekundowy] Pikosekundowy 532/670/1064 nm Zastosowanie: Tatuaze, melasma, fotostarzenie",[]
environ_roll_cit_avst,"Environ (Roll-CIT, AVST)",peeling,substance,environ_skin_care,"Environ (Roll-CIT, AVST)|environ|environ (roll-cit, avst)",,"[Kosmeceutyki gabinetowe] Witamina A, mikronakluwanie Roll-CIT Zastosowanie: Antiaging",[]
ergoline_kbl_megasun,Ergoline / KBL / megaSun,inny,substance,ergoline_kbl,Ergoline / KBL / megaSun|ergoline / kbl / megasun|ergoline kbl megasun,,[Solarium] Profesjonalne lozka solaryjne Zastosowanie: Opalanie UV,[]
essie_gel_essie,Essie Gel / Essie,manicure,substance,l_oreal,Essie Gel / Essie|essie gel / essie|essie gel essie,,[Marki lakiery hybrydowe] Lakiery zwykłe i hybryda Zastosowanie: Manicure,[]
estgen,EstGen,mezoterapia,device,estgen,estgen|est gen|est-gen,"[""face"",""body""]",EstGen — urządzenie do elektrostimulacji + RF + mikroprądy do mezoterapii.,"[""endermolab""]"
esthelis_basic_soft,Esthelis Basic/Soft,inny,substance,anteis_merz,Esthelis Basic/Soft|esthelis basic soft|esthelis basic/soft,,[HA - Anteis/Merz] Monofazowy HA Zastosowanie: Bruzdy,[]
eucerin,Eucerin,peeling,substance,beiersdorf,Eucerin|eucerin,,[Dermokosmetyki apteczne] Dermokosmetyki Zastosowanie: Pielegnacja medyczna,[]
eurosilicone_cristalline,Eurosilicone Cristalline,chirurgia,substance,gc_aesthetics,Eurosilicone Cristalline|eurosilicone cristalline,,[Powiekszanie piersi] Implanty silikonowe Zastosowanie: Augmentacja piersi,[]
eve_lom_decleor_carita,Eve Lom / Decleor / Carita,peeling,substance,manzanita_capital_l_oreal,Eve Lom / Decleor / Carita|eve lom / decleor / carita|eve lom decleor carita,,[Kosmeceutyki gabinetowe] Luxury spa Zastosowanie: Pielegnacja,[]
evlt_endovenous_laser,EVLT / Endovenous Laser,laser_skin,technique,roznorodni_producenci_laserowi,EVLT / Endovenous Laser|evlt / endovenous laser|evlt endovenous laser,,[Lasery do zylakow] Endowaskularny laser 1470/1940 nm Zastosowanie: Zylaki konczyn dolnych,[]
evolve_tite_tone_trim,EVOLVE TITE/TONE/TRIM,rf_hifu,device,inmode,EVOLVE TITE/TONE/TRIM|evolve tite tone trim|evolve tite/tone/trim,,"[Wielobiegunowa RF] Hands-free RF + EMS + plytki podcisnieniowe Zastosowanie: Lifting, modelowanie ciala",[]
exceed_by_candela,Exceed by Candela,mezoterapia,device,candela,Exceed by Candela|exceed by candela,,"[Mikroiglowanie] Motorized microneedling Zastosowanie: Blizny, antiaging",[]
exilis_ultra_360,Exilis Ultra 360,rf_hifu,device,btl,Exilis Ultra 360|exilis ultra 360,,"[Wielobiegunowa RF] RF + US synergicznie 360 stopni Zastosowanie: Lifting, ujedrnienie",[]
extended_smas_high_smas,Extended SMAS / High SMAS,chirurgia,technique,roznorodni,Extended SMAS / High SMAS|extended smas / high smas|extended smas high smas,,[Lifting twarzy] Wariant Deep Plane Zastosowanie: Lifting,[]
ezflow_ibd,EzFlow / IBD,manicure,substance,pacific_world_american_international_industries,EzFlow / IBD|ezflow / ibd|ezflow ibd,,[Marki akryle] Akryle i zele Zastosowanie: Stylizacja,[]
fade_taper_skin_fade,Fade / Taper / Skin Fade,fryzjer_zabieg,technique,klasyczna_barberska,Fade / Taper / Skin Fade|fade / taper / skin fade|fade taper skin fade,,[Strzyzenie meskie] Klasyczne fade Zastosowanie: Strzyzenie meskie,[]
femilift,FemiLift,laser_skin,device,alma_lasers,FemiLift|femilift,,"[Laser ginekologiczny CO2] Frakcyjny CO2 ginekologiczny Pixel CO2 Zastosowanie: Atrofia, NTM",[]
filorga_time_filler_nctf,"Filorga (Time-Filler, NCTF)",peeling,substance,laboratoires_filorga_colgate,"Filorga (Time-Filler, NCTF)|filorga|filorga (time-filler, nctf)",,[Kosmeceutyki gabinetowe] Antiaging inspirowana medycyna estetyczna Zastosowanie: Antiaging,[]
filorga_x_ha_volume_densimatrix_3,Filorga X-HA Volume / Densimatrix / 3,substancja,substance,laboratoires_filorga_colgate,Filorga X-HA Volume / Densimatrix / 3|filorga x ha volume densimatrix 3|filorga x-ha volume / densimatrix / 3,,"[HA - Filorga] Crosslinked HA medical Zastosowanie: Wolumetria, bruzdy",[]
foilyage,Foilyage,fryzjer_koloryzacja,technique,klasyczna,Foilyage|foilyage,,[Koloryzacja - rozjasnianie] Balayage zawijane w folie Zastosowanie: Mocniejsze rozjasnienie naturalnym pedzlem,[]
forma_forma_v,Forma / Forma V,rf_hifu,device,inmode,Forma / Forma V|forma / forma v|forma forma v,,"[Wielobiegunowa RF] Bipolarna RF do twarzy / intymna Zastosowanie: Lifting, ginekologia",[]
fotofinder_atbm_bodystudio,FotoFinder ATBM / Bodystudio,inny,device,fotofinder_systems,FotoFinder ATBM / Bodystudio|fotofinder atbm / bodystudio|fotofinder atbm bodystudio,,[Skin scanner i diagnostyka] Mappping znamion i diagnostyka skory Zastosowanie: Onkologia dermatologiczna,[]
fotona,Fotona,laser_skin,device,fotona,fotona|fotona 4d|fotona sp dynamis,"[""face"",""body""]","Lasery Fotona SP Dynamis (Nd:YAG + Er:YAG) — odmładzanie, naczynia, blizny, blizny po trądziku.","[""picosure"",""tixel""]"
fotona_intimalase_incontilase_renovalase,Fotona IntimaLase / IncontiLase / RenovaLase,inny,technique,fotona,Fotona IntimaLase / IncontiLase / RenovaLase|fotona intimalase / incontilase / renovalase|fotona intimalase incontilase renovalase,,"[Laser ginekologiczny Er:YAG] Protokol Er:YAG do pochwy/sromu i nietrzymania moczu Zastosowanie: Wagina, NTM, atrofia",[]
fotona_pinpointe_onychomykoza,Fotona PinPointe/Onychomykoza,inny,device,fotona,Fotona PinPointe/Onychomykoza|fotona pinpointe onychomykoza|fotona pinpointe/onychomykoza,,[Laser do paznokci] Nd:YAG do leczenia grzybicy paznokci Zastosowanie: Onychomykoza,[]
fotona_sp_dynamis,Fotona SP Dynamis,laser_skin,device,fotona,Fotona SP Dynamis|fotona sp dynamis,,"[Laser Er:YAG] Platforma laserowa Er:YAG + Nd:YAG z protokolami 4D, NightLase, IntimaLase Zastosowanie: Lifting, ginekologia, chrapanie",[]
fotona_twinlight,Fotona TwinLight,laser_skin,device,fotona,Fotona TwinLight|fotona twinlight,,"[Laser Er:YAG] Polaczenie Er:YAG i Nd:YAG w protokolach laserowych Zastosowanie: Odmladzanie, ginekologia estetyczna",[]
framesi_morphosis_framcolor,Framesi Morphosis / Framcolor,fryzjer_zabieg,substance,framesi,Framesi Morphosis / Framcolor|framesi morphosis / framcolor|framesi morphosis framcolor,,"[Marki profesjonalne] Profesjonalna pielegnacja Zastosowanie: Pielegnacja, kolor",[]
fraxel_dual_1550_1927,Fraxel Dual 1550/1927,laser_skin,device,solta_medical,Fraxel Dual 1550/1927|fraxel dual 1550 1927|fraxel dual 1550/1927,,"[Laser frakcyjny nieablacyjny] Nieablacyjny frakcyjny laser dwuczestotliwosciowy Zastosowanie: Plamy, zmarszczki, AK",[]
fraxel_re_pair,Fraxel re:pair,laser_skin,device,solta_medical_bausch_health,Fraxel re:pair|fraxel re pair|fraxel re:pair,,"[Laser CO2 frakcyjny] Ablacyjny laser CO2 frakcyjny do glebokiej przebudowy skory i blizn Zastosowanie: Resurfacing, blizny, zmarszczki",[]
fue_follicular_unit_extraction,FUE - Follicular Unit Extraction,transplantacja_wlosow,technique,rassman_bernstein,FUE - Follicular Unit Extraction|fue - follicular unit extraction|fue follicular unit extraction,,[Hair transplant] Pobieranie pojedynczych jednostek Zastosowanie: Przeszczep wlosow,[]
full_abdominoplasty_mini_fleur_de_lis,Full Abdominoplasty / Mini / Fleur-de-Lis,chirurgia,technique,klasyczne,Full Abdominoplasty / Mini / Fleur-de-Lis|full abdominoplasty / mini / fleur-de-lis|full abdominoplasty mini fleur de lis,,[Abdominoplastyka] Korekta scian brzucha Zastosowanie: Plastyka brzucha,[]
fut_strip_method,FUT - Strip Method,transplantacja_wlosow,technique,klasyczna,FUT - Strip Method|fut - strip method|fut strip method,,[Hair transplant] Pobieranie pasa skory Zastosowanie: Przeszczep wlosow,[]
gelish_morgan_taylor,Gelish / Morgan Taylor,manicure,substance,hand_nail_harmony,Gelish / Morgan Taylor|gelish / morgan taylor|gelish morgan taylor,,[Marki lakiery hybrydowe] Hybrydowe lakiery Zastosowanie: Manicure,[]
geneo_geneo_x,Geneo+ / Geneo X,peeling,device,pollogen_lumenis,Geneo+ / Geneo X|geneo geneo x|geneo+ / geneo x,,"[Hydra-peeling] OxyGeneo - CO2 z kapsulkami + US/RF Zastosowanie: Oczyszczanie, dotlenienie, RF/US",[]
geneveve,Geneveve,rf_hifu,device,viveve,Geneveve|geneveve,,"[RF ginekologia] Monopolarna RF z chlodzeniem Zastosowanie: Wiotkosc, NTM",[]
genioplasty_sliding,Genioplasty sliding,chirurgia,technique,obwegeser_trauner,Genioplasty sliding|genioplasty sliding,,[Konturowanie twarzy] Osteotomia bridy Zastosowanie: Wysuniecie/cofniecie brody,[]
genius_rf,Genius RF,rf_hifu,device,lutronic,Genius RF|genius rf,,"[Mikroiglowa RF] Mikroiglowa RF z monitorowaniem impedancji Zastosowanie: Lifting, blizny",[]
gentlelase_pro_plus,GentleLase Pro Plus,laser_depilacja,device,candela,GentleLase Pro Plus|gentlelase pro plus,,[Laser depilacyjny Aleksandryt] Aleksandryt 755 nm z chlodzeniem DCD Zastosowanie: Depilacja jasnych fototypow,[]
gentlemax_pro,GentleMax Pro,laser_depilacja,device,syneron_candela,GentleMax Pro|gentlemax pro,,"[Laser Nd:YAG] Hybryda Aleksandryt 755 nm + Nd:YAG 1064 nm Zastosowanie: Depilacja, naczynia, przebarwienia",[]
gentleyag_pro,GentleYAG Pro,laser_depilacja,device,syneron_candela,GentleYAG Pro|gentleyag pro,,"[Laser Nd:YAG] Nd:YAG 1064 nm z chlodzeniem DCD Zastosowanie: Depilacja na ciemnej karnacji, zmiany naczyniowe",[]
genyal_lips,Genyal Lips,substancja,substance,adoderm_bioscience,Genyal Lips|genyal lips,,[HA - Adoderm] Dedykowany do ust Zastosowanie: Modelowanie ust,[]
germaine_de_capuccini,Germaine de Capuccini,peeling,substance,germaine_de_capuccini,Germaine de Capuccini|germaine de capuccini,,[Kosmeceutyki gabinetowe] Profesjonalna kosmetyka spa Zastosowanie: Antiaging,[]
